お,お,23220,11,25
兄ちゃん,にいちゃん,23220,8,10
「,「,23220,13,38
。,。,23220,13,36
　,　,23220,13,41
そんな,そんな,4064,6,7
自分,じぶん,23220,8,10
が,が,4064,10,21
つくづく,つくづく,23220,2,2
情けなく,なさけなく,23220,0,0
思えて,おもえて,23220,9,9
くる,くる,23220,12,35
だから,だから,4064,5,5
僕,ぼく,4064,8,10
も,も,23220,10,22
わざと,わざと,23220,2,2
、,、,23220,13,37
そういう,そういう,23220,6,7
人,じん,23220,8,10
達,たち,23220,12,29
トロロ,トロロ,23220,8,15
『,『,23220,13,38
』,』,23220,13,39
を,を,23220,10,21
改造,かいぞう,23220,8,17
し,し,23220,9,9
やすい,やすい,23220,12,33
して,して,23220,12,35
いる,いる,23220,12,35
ように,ように,23220,4,4
んだ,んだ,23220,4,4
よ,よ,23220,10,24
ね,ね,23220,10,24
改造しやすいしている,かいぞうしやすいしている,27278,14,44
人達,じんたち,4064,14,44
……,……,23220,13,40
う,う,23220,8,10
うん,うん,23220,7,7
あ,あ,23220,7,7
意味,いみ,23220,8,17
から,から,23220,10,21
する,する,23220,9,9
と,と,23220,10,21
確かに,たしかに,23220,0,0
難しい,むずかしい,4064,0,0
こと,こと,4064,8,12
なんて,なんて,23220,10,22
どこ,どこ,23220,6,6
に,に,23220,10,21
書いて,かいて,23220,9,9
ない,ない,23220,12,33
」,」,23220,13,39
萌,もえ,23220,8,16
夢,ゆめ,23220,8,10
ちゃん,ちゃん,23220,12,29
部屋,へや,4064,8,10
の,の,4064,10,23
中,なか,23220,8,11
出て,でて,23220,9,9
きた,きた,23220,12,35
瞬間,しゅんかん,23220,8,19
大きな,おおきな,23220,1,1
音,おと,23220,8,10
家,いえ,23220,8,10
鳴り響いた,なりひびいた,23220,9,9
萌夢ちゃん,もえゆめちゃん,4064,14,44
出てきた,でてきた,4064,14,44
え,え,23220,12,35
もう,もう,4064,2,2
撮った,とった,23220,9,9
？,？,23220,13,40
タイタン,タイタン,23220,8,10
いろいろ,いろいろ,23220,2,2
活躍,かつやく,23220,8,17
くれる,くれる,23220,12,35
活躍してくれる,かつやくしてくれる,62249,14,44
AI,AI,4064,8,14
可愛らし,かわいらし,23220,0,0
さ,さ,23220,12,30
朱美,あけみ,23220,8,16
あっち,あっち,23220,6,6
で,で,23220,10,21
畠山,畠山,23220,8,15
課長,かちょう,23220,8,10
呼んで,よんで,23220,9,9
る,る,23220,12,35
畠山課長,畠山かちょう,4064,14,44
複雑な,ふくざつな,23220,0,0
条件,じょうけん,23220,8,10
カメラ,かめら,23220,8,10
いかに,いかに,23220,2,2
制御,せいぎょ,23220,8,17
したら,したら,23220,9,9
対象,たいしょう,4064,8,10
なる,なる,23220,9,9
画像,がぞう,4064,8,10
撮影,さつえい,23220,8,17
できる,できる,23220,9,9
か,か,23220,10,23
1,1,23220,8,18
ヶ月,かげつ,23220,12,31
うち,うち,23220,8,11
何,なん,23220,8,18
枚,まい,23220,12,31
写真,しゃしん,23220,8,10
もはや,もはや,23220,2,2
記憶,きおく,23220,8,17
残ら,のこら,23220,9,9
ほど,ほど,23220,8,11
だった,だった,23220,3,3
けど,けど,23220,10,23
結局,けっきょく,23220,2,2
その,その,23220,6,7
答え,こたえ,4064,8,10
見つける,みつける,23220,9,9
でき,でき,23220,9,9
なかった,なかった,23220,12,33
は,は,23220,10,22
撮影できる,さつえいできる,3567,14,44
制御したら,せいぎょしたら,61935,14,44
1ヶ月,1かげつ,4064,14,44
何枚,なんまい,4064,14,44
残らない,のこらない,20448,14,44
ねぇ,ねえ,23220,7,7
お兄ちゃん,おにいちゃん,4064,14,44
これ,これ,4064,6,6
じゃあ,じゃあ,23220,7,7
専門,せんもん,23220,8,10
用語,ようご,23220,8,10
多,おお,23220,0,0
すぎて,すぎて,23220,12,35
話,はなし,23220,8,17
ついて,ついて,23220,9,9
いく,いく,23220,12,35
やっと,やっと,23220,2,2
だ,だ,23220,3,3
専門用語,せんもんようご,4064,14,44
多すぎて,おおすぎて,26270,14,44
ついていくの,ついていくの,4064,14,44
電源,でんげん,4064,8,10
入れた,いれた,23220,9,9
！,！,23220,13,40
プランキッド,プランキッド,23220,8,17
作動,さどう,23220,8,17
みたい,みたい,23220,4,4
作動しない,さどうしない,14327,14,44
頼む,たのむ,23220,9,9
そこ,そこ,23220,6,6
黙ら,だまら,23220,9,9
ないで,ないで,4064,4,4
南,みなみ,23220,8,10
くん,くん,23220,12,29
南くん,みなみくん,4064,14,44
心配,しんぱい,23220,0,0
そうに,そうに,23220,12,33
私,わたし,4064,8,10
覗き,のぞき,23220,9,9
込む,こむ,23220,9,9
くんだ,くんだ,23220,9,9
った,った,23220,12,35
ん,ん,23220,4,4
ここ,ここ,23220,6,6
れる,れる,23220,12,35
本末転倒,ほんまつてんとう,4064,8,10
思えた,おもえた,23220,9,9
心配そうに,しんぱいそうに,41467,14,44
覗き込む,のぞきこむ,4064,14,44
くんだった,くんだった,22946,14,44
心配されるの,しんぱいされるの,45686,14,44
この,この,23220,6,7
資料,しりょう,23220,8,10
数式,すうしき,23220,8,10
明らかに,あきらかに,23220,0,0
趣味,しゅみ,23220,8,10
どう,どう,23220,6,8
考えて,かんがえて,23220,9,9
今回,こんかい,23220,8,19
説明,せつめい,23220,8,17
必要,ひつよう,23220,0,0
それ,それ,23220,6,6
わかって,わかって,23220,9,9
て,て,23220,12,35
仕組み,しくみ,23220,8,10
伝え,つたえ,23220,9,9
たい,たい,23220,12,33
数学,すうがく,23220,8,10
的な,てきな,23220,12,34
やっぱ,やっぱ,23220,2,2
別じゃ,べつじゃ,23220,0,0
な,な,23220,10,24
思う,おもう,4064,9,9
出てくる,でてくる,15048,14,44
わかってて,わかってて,56728,14,44
書いてる,かいてる,4064,14,44
伝えたいの,つたえたいの,739,14,44
数学的な,すうがくてきな,4064,14,44
